africa (n) . /ˈæfrɪkə/ | Châu Phi
charge (n/v) . /tʃɑːrdʒ/ | phí tổn, tính phí
charger (n) . /ˈtʃɑːrdʒər/ | bộ sạc
chat (v/n) . /tʃæt/ | trò chuyện, tán gẫu
cheap (adj) . /tʃiːp/ | rẻ
check (n/v) . /tʃek/ | hóa đơn, kiểm tra
check in (v) . /tʃek ɪn/ | làm thủ tục nhận
check out (v) . /tʃek aʊt/ | trả phòng
cheese (n) . /tʃiːz/ | phô mai
chef (n) . /tʃef/ | đầu bếp
chemistry (n) . /ˈkemɪstri/ | hóa học
cherry (n) . /ˈtʃeri/ | quả anh đào
chicken (n) . /ˈtʃɪkɪn/ | con gà, thịt gà
child (n) . /tʃaɪld/ | đứa trẻ, con
children (n) . /ˈtʃɪldrən/ | con cái, trẻ em (số nhiều)
chocolate (n) . /ˈtʃɑːklət/ | sô-cô-la
choose (v) . /tʃuːz/ | chọn lựa
chore (n) . /tʃɔːr/ | việc nhà, việc vặt
chose (v) . /tʃoʊz/ | đã chọn
city (n) . /ˈsɪti/ | thành phố
class (n) . /klæs/ | lớp học
classical (adj) . /ˈklæsɪkl/ | cổ điển
classmate (n) . /ˈklæsmeɪt/ | bạn cùng lớp
classroom (n) . /ˈklæsruːm/ | phòng học
clean (adj/v) . /kliːn/ | sạch sẽ, dọn dẹp
clear (adj/v) . /klɪr/ | trong suốt, rõ ràng
click on (v) . /klɪk ɑːn/ | nhấp vào
clinic (n) . /ˈklɪnɪk/ | phòng khám
clock (n) . /klɑːk/ | đồng hồ treo tường
close (v/adj) . /kloʊz/ | đóng, gần gũi
closed (adj) . /kloʊzd/ | đóng cửa
closet (n) . /ˈklɑːzɪt/ | tủ đựng đồ, tủ quần áo
clothes (n) . /kloʊðz/ | quần áo
clothing (n) . /ˈkloʊðɪŋ/ | quần áo, y phục
cloudy (adj) . /ˈklaʊdi/ | có mây, nhiều mây
club (n) . /klʌb/ | câu lạc bộ
coffee (n) . /ˈkɔːfi/ | cà phê
cold (adj/n) . /koʊld/ | lạnh, cảm lạnh
colleague (n) . /ˈkɑːliːɡ/ | đồng nghiệp
college (n) . /ˈkɑːlɪdʒ/ | trường cao đẳng
color (n/v) . /ˈkʌlər/ | màu sắc
colorful (adj) . /ˈkʌlərfl/ | đầy màu sắc
come (v) . /kʌm/ | đến, tới
come here (phrase) . /kʌm hɪr/ | lại đây
come in (phrase) . /kʌm ɪn/ | mời vào
come over (phrase) . /kʌm ˈoʊvər/ | ghé chơi, đến đây
comedian (n) . /səˈmiːdiən/ | diễn viên hài
comfortable (adj) . /ˈkʌmftəbl/ | thoải mái
company (n) . /ˈkʌmpəni/ | công ty
complain (v) . /kəmˈpleɪn/ | phàn nàn
computer (n) . /kəmˈpjuːtər/ | máy tính
concert (n) . /ˈkɑːnsərt/ | buổi hòa nhạc
confirm (v) . /kənˈfɜːrm/ | xác nhận
confused (adj) . /kənˈfjuːzd/ | bối rối
connect (v) . /kəˈnekt/ | kết nối
contact (v/n) . /ˈkɑːntækt/ | liên hệ
convenient (adj) . /kənˈviːniənt/ | thuận tiện
conversation (n) . /ˌkɑːnvərˈseɪʃn/ | cuộc hội thoại
cook (v/n) . /kʊk/ | nấu ăn, đầu bếp
cookie (n) . /ˈkʊki/ | bánh quy
cool (adj) . /kuːl/ | tuyệt, mát mẻ
correct (adj/v) . /kəˈrekt/ | đúng, chính xác
cost (v/n) . /kɔːst/ | có giá là, chi phí
cough (v/n) . /kɔːf/ | ho
could (modal v) . /kʊd/ | có thể (quá khứ)
couldn't (modal v) . /ˈkʊdnt/ | đã không thể
counter (n) . /ˈkaʊntər/ | quầy hàng, quầy tính tiền
country (n) . /ˈkʌntri/ | quốc gia, đất nước
coupon (n) . /ˈkuːpɑːn/ | phiếu giảm giá
cousin (n) . /ˈkʌzn/ | anh chị em họ
cracker (n) . /ˈkrækər/ | bánh quy giòn
cream (n) . /kriːm/ | kem
create (v) . /kriˈeɪt/ | tạo ra
credit card (n) . /ˈkredɪt kɑːrd/ | thẻ tín dụng
crime (n) . /kraɪm/ | tội phạm, tội ác
cross (v/n) . /krɔːs/ | vượt qua, băng qua
crowd (n) . /kraʊd/ | đám đông
crowded (adj) . /ˈkraʊdɪd/ | đông đúc
cry (v/n) . /kraɪ/ | khóc
cup (n) . /kʌp/ | cái tách (chén)
cupcake (n) . /ˈkʌpkeɪk/ | bánh cupcake
curry (n) . /ˈkɜːri/ | cà ri
customer (n) . /ˈkʌstəmər/ | khách hàng
customer service (n) . /ˈkʌstəmər ˈsɜːrvɪs/ | dịch vụ khách hàng
customs (n) . /ˈkʌstəmz/ | hải quan
cute (adj) . /kjuːt/ | dễ thương
cycling (n) . /ˈsaɪklɪŋ/ | việc đạp xe
dad (n) . /dæd/ | bố, cha
daily (adj/adv) . /ˈdeɪli/ | hàng ngày
dance (v/n) . /dæns/ | nhảy múa
dangerous (adj) . /ˈdeɪndʒərəs/ | nguy hiểm
dark (adj/n) . /dɑːrk/ | tối, đậm màu
date (n/v) . /deɪt/ | hẹn hò, ngày tháng
daughter (n) . /ˈdɔːtər/ | con gái
day (n) . /deɪt/ | ngày
deadline (n) . /ˈdedlaɪn/ | hạn chót
debit card (n) . /ˈdebɪt kɑːrd/ | thẻ ghi nợ
decide (v) . /dɪˈsaɪd/ | quyết định
delicious (adj) . /dɪˈlɪʃəs/ | ngon miệng
dentist (n) . /ˈdentɪst/ | nha sĩ
department (n) . /dɪˈpɑːrtmənt/ | bộ phận, phòng ban
describe (v) . /dɪˈskraɪ/ | mô tả
desk (n) . /desk/ | bàn làm việc
dessert (n) . /dɪˈzɜːrt/ | món tráng miệng
detail (n) . /ˈdiːteɪl/ | chi tiết
detective (n) . /dɪˈtektɪv/ | thám tử
diamond (n) . /ˈdaɪəmənd/ | kim cương
did (v) . /dɪd/ | đã làm (quá khứ)
didn't (v) . /ˈdɪdnt/ | đã không
diet (n/v) . /ˈdaɪət/ | chế độ ăn uống
different (adj) . /ˈdɪfrənt/ | khác nhau
difficult (adj) . /ˈdɪfɪkəlt/ | khó khăn
dining room (n) . /ˈdaɪnɪŋ ruːm/ | phòng ăn
dinner (n) . /ˈdɪnər/ | bữa tối
directions (n) . /daɪˈrekʃnz/ | chỉ dẫn, phương hướng
director (n) . /dəˈrektər/ | đạo diễn, giám đốc
dirty (adj) . /ˈdɜːrti/ | bẩn, dơ
discuss (v) . /dɪˈskʌs/ | thảo luận
dish (n) . /dɪʃ/ | món ăn, cái đĩa
dishwasher (n) . /ˈdɪʃwɔːʃər/ | máy rửa bát
do laundry (v) . /duː ˈlɔːndri/ | giặt quần áo
do the dishes (v) . /duː ðə dɪʃɪz/ | rửa bát đĩa
do you have (phrase) . /duː ju hæv/ | bạn có... không
do you need (phrase) . /duː ju niːd/ | bạn có cần... không
doctor's office (n) . /ˈdɑːktərz ˈɑːfɪs/ | phòng khám bác sĩ
document (n) . /ˈdɑːkjumənt/ | tài liệu
doesn't (v) . /ˈdʌznt/ | không (dạng phủ định số ít)
dog (n) . /dɔːɡ/ | con chó
doll (n) . /dɑːl/ | búp bê
dollar (n) . /ˈdɑːlər/ | đô-la
don't worry (phrase) . /doʊnt ˈwɜːri/ | đừng lo lắng
done (adj/v) . /dʌn/ | đã xong
done with (phrase) . /dʌn wɪð/ | xong việc gì đó
door (n) . /dɔːr/ | cái cửa
download (v/n) . /ˌdaʊnˈloʊd/ | tải xuống
downstairs (adv/n) . /ˌdaʊnˈsterz/ | tầng dưới
downtown (n/adv) . /ˌdaʊnˈtaʊn/ | trung tâm thành phố
drank (v) . /dræŋk/ | đã uống
draw (v) . /drɔː/ | vẽ tranh, kẻ
drawer (n) . /drɔːr/ | ngăn kéo
dress (n/v) . /dres/ | váy liền thân
dresser (n) . /ˈdresər/ | tủ quần áo
drink (v/n) . /drɪŋk/ | uống, đồ uống
drive (v/n) . /draɪ/ | lái xe
drop (v/n) . /drɑːp/ | làm rơi, giọt
drums (n) . /drʌmz/ | cái trống
dry (adj/v) . /draɪ/ | khô ráo, làm khô
due (adj) . /duː/ | đến hạn, vì
during (prep) . /ˈdʊrɪŋ/ | trong suốt
each other (pronoun) . /iːtʃ ˈʌðər/ | lẫn nhau
ear (n) . /ɪr/ | tai
earring (n) . /ˈɪrɪŋ/ | khuyên tai
easy (adj) . /ˈiːzi/ | dễ dàng
eat (v) . /iːt/ | ăn
eat breakfast (v) . /iːt ˈbrekfəst/ | ăn sáng
edit (v) . /ˈedɪt/ | chỉnh sửa
egg (n) . /eɡ/ | trứng
eight (number) . /eɪt/ | tám
eighteen (number) . /ˌeɪˈtiːn/ | mười tám
elbow (n) . /ˈelboʊ/ | khuỷu tay
elementary school (n) . /ˌelɪˈmentri skuːl/ | trường tiểu học
eleven (number) . /ɪˈlevn/ | mười một
else (adv) . /els/ | khác, nữa
email (n/v) . /ˈiːmeɪl/ | thư điện tử
email address (n) . /ˈiːmeɪl ˈædres/ | địa chỉ email
empty (adj/v) . /ˈempti/ | trống rỗng
end (n/v) . /end/ | kết thúc
energy (n) . /ˈenərdʒi/ | năng lượng
enjoy (v) . /ɪnˈdʒɔɪ/ | tận hưởng, yêu thích
enough (determiner/adv) . /ɪˈnʌf/ | đủ
envelope (n) . /ˈænvəloʊp/ | phong bì
equipment (n) . /ɪˈkwɪpmənt/ | thiết bị
eraser (n) . /ɪˈreɪsər/ | cục tẩy
essay (n) . /ˈeseɪ/ | bài luận
even (adv/adj) . /ˈiːvn/ | thậm chí
evening (n) . /ˈiːvnɪŋ/ | buổi tối
event (n) . /ɪˈvent/ | sự kiện
every (determiner) . /ˈevri/ | mỗi, mọi
every day (adv) . /ˈevri deɪ/ | mỗi ngày
everything (pronoun) . /ˈevriθɪŋ/ | mọi thứ
example (n) . /ɪɡˈzæmpl/ | ví dụ
excited (adj) . /ɪkˈsaɪtɪd/ | phấn khích
exciting (adj) . /ɪkˈsaɪtɪŋ/ | hào hứng, thú vị
excuse me (phrase) . /ɪkˈskjuːs mi/ | xin lỗi (khi làm phiền)
exercise (n/v) . /ˈeksərsaɪz/ | tập thể dục
exhausted (adj) . /ɪɡˈzɔːstɪd/ | kiệt sức, rất mệt
expensive (adj) . /ɪkˈspensɪv/ | đắt tiền
expired (adj/v) . /ɪkˈspaɪərd/ | hết hạn
explain (v) . /ɪkˈspleɪn/ | giải thích
extra (adj/adv/n) . /ˈekstrə/ | thêm, bổ sung
eye (n) . /aɪ/ | con mắt
face (n/v) . /feɪs/ | khuôn mặt
fall (n/v) . /fɔːl/ | mùa thu, ngã
fall off (v) . /fɔːl ɔːf/ | ngã xuống, rụng khỏi
family (n) . /ˈfæməli/ | gia đình
famous (adj) . /ˈfeɪməs/ | nổi tiếng
fan (n) . /fæn/ | người hâm mộ, cái quạt
fancy (adj) . /ˈfænsi/ | sang trọng, đắt tiền
far (adj/adv) . /fɑːr/ | xa
far away (adv) . /fɑːr əˈweɪ/ | xa xôi
fast (adj/adv) . /fæst/ | nhanh
fast food (n) . /ˌfæst ˈfuːd/ | đồ ăn nhanh
father (n) . /ˈfɑːðər/ | người cha
fault (n) . /fɔːlt/ | lỗi lầm
favorite (adj/n) . /ˈfeɪvərɪt/ | yêu thích
feed (v) . /fiːd/ | cho ăn
feel (v) . /fiːl/ | cảm thấy
feel sick (phrase) . /fiːl sɪk/ | cảm thấy không khỏe
feet (n) . /fiːt/ | bàn chân (số nhiều)
festival (n) . /ˈfestɪvl/ | lễ hội
fever (n) . /ˈfiːvər/ | cơn sốt
fifteen (number) . /ˌfɪfˈtiːn/ | mười lăm
fifty (number) . /ˈfɪfti/ | năm mươi
file (n/v) . /faɪl/ | hồ sơ, tập tin
fill out (v) . /fɪl aʊt/ | điền vào
finally (adv) . /ˈfaɪnəli/ | cuối cùng, rốt cuộc
find (v) . /faɪnd/ | tìm thấy
fine (adj) . /faɪn/ | tốt, ổn
finger (n) . /ˈfɪŋɡər/ | ngón tay
finish (v/n) . /ˈfɪnɪʃ/ | hoàn thành, kết thúc
fire (n/v) . /ˈfaɪər/ | ngọn lửa
firework (n) . /ˈfaɪərwɜːrk/ | pháo hoa
first (number/adj/adv) . /fɜːrst/ | đầu tiên
first class (n/adj) . /ˌfɜːrst ˈklæs/ | hạng nhất (tàu/xe)
fish (n/v) . /fɪʃ/ | con cá
fit (adj/v) . /fɪt/ | vừa vặn, cân đối
fitness (n) . /ˈfɪtnəs/ | thể lực, sự sung sức
fix (v) . /fɪks/ | sửa chữa
flight (n) . /flaɪt/ | chuyến bay
floor (n) . /flɔːr/ | sàn nhà, tầng
flour (n) . /ˈflaʊər/ | bột mì
flower (n) . /ˈflaʊər/ | bông hoa
fly (v/n) . /flaɪ/ | bay
foggy (adj) . /ˈfɑːɡi/ | có sương mù
folder (n) . /ˈfoʊldər/ | thư mục
folk (n/adj) . /foʊk/ | dân gian
follow (v) . /ˈfɑːloʊ/ | đi theo, theo dõi
food (n) . /fuːd/ | thức ăn
foot (n) . /fʊt/ | bàn chân (số ít)
football (n) . /ˈfʊtbɔːl/ | bóng đá (hoặc bóng bầu dục)
for (prep) . /fɔːr/ | cho, dành cho
forget (v) . /fərˈɡet/ | quên
forgot (v) . /fərˈɡɑːt/ | đã quên
fork (n) . /fɔːrk/ | cái nĩa
form (n/v) . /fɔːrm/ | mẫu đơn, hình dáng
forty (number) . /ˈfɔːrti/ | bốn mươi
four (number) . /fɔːr/ | bốn
free (adj/adv) . /friː/ | rảnh rỗi, miễn phí
freezer (n) . /ˈfriːzər/ | tủ đông
fresh (adj) . /freʃ/ | tươi ngon
fridge (n) . /frɪdʒ/ | tủ lạnh
fried (adj) . /fraɪd/ | chiên, rán
friend (n) . /frend/ | người bạn
friendly (adj) . /ˈfrendli/ | thân thiện
fries (n) . /fraɪz/ | khoai tây chiên
from (prep) . /frʌm/ | đến từ
from home (phrase) . /frʌm hoʊm/ | từ nhà
front desk (n) . /ˌfrʌnt ˈdesk/ | quầy lễ tân
fruit (n) . /fruːt/ | trái cây
full (adj) . /fʊl/ | đầy, no
fun (n/adj) . /fʌn/ | vui vẻ
funny (adj) . /ˈfʌni/ | vui tính, buồn cười
gallon (n) . /ˈɡælən/ | gallon (đơn vị đo)
garage (n) . /ɡəˈrɑːʒ/ | nhà để xe
garden (n) . /ˈɡɑːrdn/ | khu vườn
garlic (n) . /ˈɡɑːrlɪk/ | tỏi
gas station (n) . /ˈɡæs steɪʃn/ | trạm xăng
gate (n) . /ɡeɪt/ | cổng, cửa ga
gave (v) . /ɡeɪv/ | đã cho, đã tặng
get (v) . /ɡet/ | nhận được, lấy
get a virus (phrase) . /ɡet ə ˈvaɪrəs/ | bị nhiễm virus
get back (v) . /ɡet bæk/ | trở về
get home (phrase) . /ɡet hoʊm/ | về nhà
get married (phrase) . /ɡet ˈmærid/ | kết hôn
get well soon (phrase) . /ɡet wel suːn/ | mau khỏe lại nhé
gift (n) . /ɡɪft/ | món quà
girlfriend (n) . /ˈɡɜːrlfrend/ | bạn gái
give (v) . /ɡɪv/ | đưa cho, tặng
glad (adj) . /ɡlæd/ | vui mừng
glass (n) . /ɡlæs/ | cái ly, thủy tinh
glass of water (n) . /ɡlæs ɒv ˈwɔːtər/ | ly nước
glasses (n) . /ˈɡlæsɪz/ | kính mắt
glove (n) . /ɡlʌv/ | găng tay
go fishing (v) . /ɡoʊ ˈfɪʃɪŋ/ | đi câu cá
go shopping (v) . /ɡoʊ ˈʃɑːpɪŋ/ | đi mua sắm
go swimming (v) . /ɡoʊ ˈswɪmɪŋ/ | đi bơi
go to (v) . /ɡoʊ tu/ | đi đến
go to sleep (v) . /ɡoʊ tu sliːp/ | đi ngủ
goal (n) . /ɡoʊl/ | bàn thắng, mục tiêu
goes (v) . /ɡoʊz/ | đi (số ít)
